Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","NSW","Hazardous wastes","C&D","Landfill","Disposal","889950.65634288","Core waste"
"2020-2021","NSW","Hazardous wastes","C&D","Other disposal","Disposal","0","Core waste"
"2020-2021","NSW","Hazardous wastes","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NSW","Hazardous wastes","C&D","Treatment","Disposal","0","Core waste"
"2020-2021","NSW","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2020-2021","NSW","Hazardous wastes","C&D","Treatment","Recycling","0","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","48222.294429035","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Landfill","Disposal","653201.506233731","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Other disposal","Disposal","6463.26591131061","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Recycling","Recycling","283460.858167061","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Treatment","Disposal","59298.2156531269","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Treatment","Energy recovery","21006.2358589287","Core waste"
"2020-2021","NSW","Hazardous wastes","C&I","Treatment","Recycling","159197.182624474","Core waste"
"2020-2021","NSW","Metals","C&D","Landfill","Disposal","0","Core waste"
"2020-2021","NSW","Metals","C&D","Recycling","Recycling","789465.358588393","Core waste"
"2020-2021","NSW","Metals","C&I","Landfill","Disposal","67576.6491770196","Core waste"
"2020-2021","NSW","Metals","C&I","Recycling","Recycling","422436.850643695","Core waste"
"2020-2021","NSW","Metals","MSW","Landfill","Disposal","172680.995272787","Core waste"
"2020-2021","NSW","Metals","MSW","Recycling","Recycling","401427.504942082","Core waste"
"2020-2021","NSW","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Organics","C&D","Landfill","Disposal","71375.7254487895","Core waste"
"2020-2021","NSW","Organics","C&D","Landfill","Energy recovery","5035.40148835616","Core waste"
"2020-2021","NSW","Organics","C&D","Recycling","Recycling","195304.003750181","Core waste"
"2020-2021","NSW","Organics","C&I","Anaerobic digestion","Recycling","25258.88","Core waste"
"2020-2021","NSW","Organics","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Organics","C&I","Landfill","Disposal","560895.594222292","Core waste"
"2020-2021","NSW","Organics","C&I","Landfill","Energy recovery","79995.2950593362","Core waste"
"2020-2021","NSW","Organics","C&I","Recycling","Recycling","624397.86878663","Core waste"
"2020-2021","NSW","Organics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Organics","MSW","Landfill","Disposal","1070886.36100641","Core waste"
"2020-2021","NSW","Organics","MSW","Landfill","Energy recovery","280901.883636739","Core waste"
"2020-2021","NSW","Organics","MSW","Recycling","Recycling","1233675.48274633","Core waste"
"2020-2021","NSW","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NSW","Paper & cardboard","C&D","Landfill","Disposal","22371.1415519557","Core waste"
"2020-2021","NSW","Paper & cardboard","C&D","Landfill","Energy recovery","3935.38935194199","Core waste"
"2020-2021","NSW","Paper & cardboard","C&D","Recycling","Recycling","27297.6601221578","Core waste"
